#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG03937	994176	1.00000	1773752	0.97552	0.00965	0.00304	1.78414	0.01422
NA18638	1156477	1.00000	1703352	0.97629	0.00770	0.00237	1.47288	0.00539
HG01840	1127319	1.00000	1692191	0.97519	0.00669	0.00204	1.50108	0.01200
HG00560	1108699	1.00000	1662878	0.97563	0.00593	0.00179	1.49985	0.01337
NA19921	943299	1.00000	1903431	0.97861	0.00613	0.00183	2.01784	0.01284
HG00341	1030631	1.00000	1753240	0.97590	0.00629	0.00192	1.70113	0.01206
HG01815	1121473	1.00000	1676886	0.97420	0.00644	0.00198	1.49525	0.01342
HG01944	1118778	1.00000	1737310	0.97680	0.00643	0.00199	1.55286	0.01086
NA18574	1149370	1.00000	1662459	0.97539	0.00780	0.00239	1.44641	0.01173
HG00422	1160322	1.00000	1669459	0.97585	0.00726	0.00226	1.43879	0.01066
NA18916	1080973	1.00000	1721952	0.97686	0.00591	0.00190	1.59296	0.01113
HG03295	1065948	1.00000	1693761	0.97820	0.00670	0.00226	1.58897	0.01167
NA19114	1056783	1.00000	1697557	0.97694	0.00596	0.00191	1.60634	0.01271
NA19399	1055655	1.00000	1716645	0.97659	0.00520	0.00170	1.62614	0.01265
HG00306	1022163	1.00000	1785225	0.97686	0.00634	0.00192	1.74652	0.01168
HG02983	1075971	1.00000	1705990	0.97665	0.00662	0.00217	1.58554	0.01162
HG03057	1050679	1.00000	1644158	0.97667	0.00617	0.00199	1.56485	0.01401
HG02307	1046138	1.00000	1746654	0.97777	0.00564	0.00182	1.66962	0.01204
HG01675	986164	1.00000	1750696	0.97589	0.00616	0.00184	1.77526	0.01360
HG03118	1072946	1.00000	1712537	0.97748	0.00547	0.00177	1.59611	0.01155
NA19130	1086140	1.00000	1707620	0.97692	0.00620	0.00202	1.57219	0.01159
NA19774	1012768	1.00000	1791915	0.97696	0.00577	0.00173	1.76932	0.01240
HG03660	1035928	1.00000	1830762	0.97671	0.00716	0.00215	1.76727	0.00907
HG04183	1053446	1.00000	1841475	0.97633	0.00843	0.00258	1.74805	0.00799
HG03873	1030077	1.00000	1808124	0.97740	0.00646	0.00197	1.75533	0.01213
HG01861	1146746	1.00000	1675375	0.97586	0.00618	0.00193	1.46098	0.01068
NA20507	1009090	1.00000	1752874	0.97546	0.00797	0.00237	1.73708	0.01266
HG01414	987002	1.00000	1868132	0.97650	0.00645	0.00192	1.89273	0.01185
NA06989	971083	1.00000	1697055	0.97610	0.00694	0.00206	1.74759	0.01503
HG00262	989694	1.00000	1748477	0.97684	0.00566	0.00170	1.76668	0.01347
HG00357	1030983	1.00000	1749471	0.97642	0.00627	0.00190	1.69690	0.01187
HG01865	1128722	1.00000	1695918	0.97489	0.00685	0.00208	1.50251	0.01160
HG03991	1060171	1.00000	1806030	0.97552	0.00808	0.00248	1.70353	0.01000
NA12282	1017135	1.00000	1794836	0.97706	0.00684	0.00207	1.76460	0.01033
HG03162	1077651	1.00000	1685323	0.97764	0.00570	0.00184	1.56389	0.01150
NA21095	1046224	1.00000	1702502	0.97697	0.00693	0.00210	1.62728	0.01342
NA21114	1023990	1.00000	1809416	0.97745	0.00640	0.00193	1.76703	0.01206
HG01970	1189479	1.00000	1486642	0.97593	0.00599	0.00189	1.24983	0.01173
HG01498	1004359	1.00000	1786949	0.97628	0.00633	0.00190	1.77919	0.01269
HG02255	1049114	1.00000	1758116	0.97760	0.00552	0.00176	1.67581	0.01138
NA18997	1153844	1.00000	1646828	0.97484	0.00728	0.00223	1.42725	0.01246
NA19428	1058767	1.00000	1737770	0.97700	0.00576	0.00184	1.64131	0.01131
HG01392	1000146	1.00000	1859593	0.97873	0.00658	0.00198	1.85932	0.01041
HG02373	1160124	1.00000	1698596	0.97652	0.00637	0.00200	1.46415	0.00620
NA12283	1031439	1.00000	1801866	0.97613	0.00730	0.00223	1.74694	0.00805
HG04035	1016178	1.00000	1744089	0.97633	0.00848	0.00273	1.71632	0.01420
HG04146	1027847	1.00000	1826474	0.97678	0.00856	0.00271	1.77699	0.01215
HG02497	1052963	1.00000	1747364	0.97704	0.00584	0.00187	1.65947	0.01175
HG00159	1022535	1.00000	1773837	0.97713	0.00650	0.00197	1.73474	0.01046
HG00187	1027137	1.00000	1783098	0.97667	0.00741	0.00223	1.73599	0.01054
HG04096	1094657	1.00000	1672488	0.97623	0.00965	0.00308	1.52786	0.01216
HG03410	1054208	1.00000	1681313	0.97706	0.00702	0.00230	1.59486	0.01302
NA12348	1009561	1.00000	1752197	0.97624	0.00620	0.00190	1.73560	0.01257
HG00362	1019128	1.00000	1776175	0.97640	0.00618	0.00188	1.74284	0.01047
HG02180	1143912	1.00000	1681042	0.97399	0.00602	0.00185	1.46956	0.01216
HG02260	1150060	1.00000	1625294	0.97541	0.00675	0.00210	1.41323	0.01094
NA19669	1015695	1.00000	1787500	0.97715	0.00688	0.00205	1.75988	0.01183
HG01286	980524	1.00000	1894620	0.97746	0.00653	0.00196	1.93225	0.01046
HG02501	1001696	1.00000	1846102	0.97768	0.00650	0.00204	1.84298	0.01192
HG03461	1051898	1.00000	1706018	0.97754	0.00583	0.00188	1.62185	0.01222
NA12760	1025080	1.00000	1776677	0.97688	0.00846	0.00257	1.73321	0.01068
HG03198	1087223	1.00000	1695386	0.97705	0.00679	0.00227	1.55937	0.01158
HG00260	1006538	1.00000	1735803	0.97569	0.00671	0.00204	1.72453	0.01285
HG02703	1060433	1.00000	1666532	0.97750	0.00612	0.00199	1.57156	0.01277
HG04002	1031854	1.00000	1839044	0.97622	0.00729	0.00218	1.78227	0.01071
HG02236	999148	1.00000	1782988	0.97672	0.00610	0.00183	1.78451	0.01180
NA19759	1083716	1.00000	1687960	0.97637	0.00585	0.00180	1.55757	0.01253
HG01341	1051176	1.00000	1794745	0.97722	0.00648	0.00196	1.70737	0.01121
HG00253	1022254	1.00000	1794244	0.97648	0.00672	0.00210	1.75518	0.00977
HG02181	1131655	1.00000	1690442	0.97717	0.00594	0.00185	1.49378	0.01198
HG03103	1104469	1.00000	1687539	0.97551	0.00670	0.00220	1.52792	0.01092
NA18625	1154494	1.00000	1667615	0.97510	0.00646	0.00199	1.44446	0.01122
HG03135	1068340	1.00000	1697012	0.97679	0.00615	0.00199	1.58846	0.01212
HG03027	1061699	1.00000	1675939	0.97649	0.00664	0.00217	1.57854	0.01285
HG00342	1018452	1.00000	1764009	0.97614	0.00635	0.00191	1.73205	0.01160
HG02623	1075814	1.00000	1684201	0.97688	0.00614	0.00202	1.56551	0.01195
HG03246	1050856	1.00000	1703028	0.97637	0.00703	0.00240	1.62061	0.01278
NA19035	1085397	1.00000	1755936	0.97589	0.00592	0.00191	1.61778	0.01009
NA20542	1006802	1.00000	1772183	0.97552	0.00855	0.00262	1.76021	0.01335
HG02143	1027738	1.00000	1839411	0.97720	0.00685	0.00216	1.78977	0.00757
NA19119	1066225	1.00000	1687045	0.97701	0.00613	0.00195	1.58226	0.01283
HG03686	1060490	1.00000	1795312	0.97725	0.00755	0.00233	1.69291	0.01109
HG01878	1134096	1.00000	1695449	0.97552	0.00627	0.00189	1.49498	0.01135
HG03955	1090695	1.00000	1703718	0.97632	0.00806	0.00247	1.56205	0.01192
NA19735	1135330	1.00000	1633742	0.97543	0.00603	0.00188	1.43900	0.01259
HG02620	1064331	1.00000	1704159	0.97684	0.00660	0.00219	1.60116	0.01183
HG03754	1023594	1.00000	1820742	0.97631	0.00704	0.00217	1.77877	0.01142
NA11919	995912	1.00000	1799801	0.97625	0.00723	0.00220	1.80719	0.01273
HG04156	1031904	1.00000	1841331	0.97677	0.00806	0.00251	1.78440	0.01063
