#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG03937	931631	1.00000	1660443	0.97610	0.00672	0.00221	0.64058	0.01375
NA18638	1083711	1.00000	1594469	0.97694	0.00509	0.00161	0.59536	0.00509
HG01840	1055763	1.00000	1584287	0.97584	0.00419	0.00132	0.60010	0.01154
HG00560	1038538	1.00000	1557393	0.97621	0.00350	0.00109	0.59994	0.01299
NA19921	883804	1.00000	1782891	0.97927	0.00400	0.00122	0.66858	0.01239
HG00341	965493	1.00000	1641834	0.97652	0.00377	0.00119	0.62970	0.01164
HG01815	1051016	1.00000	1570016	0.97485	0.00397	0.00127	0.59901	0.01299
HG01944	1048385	1.00000	1626828	0.97745	0.00394	0.00127	0.60811	0.01043
NA18574	1076872	1.00000	1557044	0.97599	0.00496	0.00156	0.59115	0.01130
HG00422	1087383	1.00000	1563531	0.97645	0.00478	0.00152	0.58981	0.01021
NA18916	1013357	1.00000	1612057	0.97751	0.00363	0.00119	0.61402	0.01071
HG03295	999484	1.00000	1585607	0.97878	0.00458	0.00159	0.61337	0.01119
NA19114	990778	1.00000	1589119	0.97760	0.00357	0.00116	0.61596	0.01229
NA19399	989692	1.00000	1606814	0.97717	0.00316	0.00105	0.61884	0.01230
HG00306	957785	1.00000	1671314	0.97750	0.00397	0.00124	0.63570	0.01130
HG02983	1008734	1.00000	1597321	0.97725	0.00432	0.00145	0.61293	0.01121
HG03057	985048	1.00000	1539266	0.97734	0.00387	0.00128	0.60978	0.01355
HG02307	980794	1.00000	1635233	0.97841	0.00333	0.00110	0.62508	0.01162
HG01675	924132	1.00000	1639677	0.97647	0.00398	0.00121	0.63955	0.01320
HG03118	1005498	1.00000	1603367	0.97817	0.00339	0.00112	0.61458	0.01113
NA19130	1018434	1.00000	1598564	0.97756	0.00398	0.00133	0.61084	0.01119
NA19774	949007	1.00000	1677812	0.97755	0.00357	0.00110	0.63872	0.01198
HG03660	970485	1.00000	1714276	0.97732	0.00444	0.00137	0.63852	0.00871
HG04183	987366	1.00000	1724149	0.97699	0.00564	0.00179	0.63586	0.00763
HG03873	965252	1.00000	1693065	0.97798	0.00394	0.00124	0.63689	0.01173
HG01861	1074749	1.00000	1568379	0.97647	0.00376	0.00122	0.59338	0.01029
NA20507	945479	1.00000	1641566	0.97601	0.00493	0.00151	0.63453	0.01222
HG01414	925147	1.00000	1749141	0.97711	0.00392	0.00121	0.65406	0.01145
NA06989	909627	1.00000	1589115	0.97664	0.00423	0.00130	0.63597	0.01459
HG00262	927078	1.00000	1636868	0.97744	0.00346	0.00106	0.63842	0.01307
HG00357	965719	1.00000	1638484	0.97704	0.00385	0.00120	0.62917	0.01148
HG01865	1057671	1.00000	1588150	0.97546	0.00438	0.00137	0.60025	0.01118
HG03991	993644	1.00000	1690897	0.97608	0.00530	0.00168	0.62986	0.00962
NA12282	953347	1.00000	1680246	0.97756	0.00446	0.00139	0.63801	0.00995
HG03162	1010353	1.00000	1577707	0.97823	0.00340	0.00113	0.60961	0.01106
NA21095	980228	1.00000	1593793	0.97759	0.00447	0.00139	0.61918	0.01294
NA21114	959665	1.00000	1694403	0.97804	0.00399	0.00123	0.63842	0.01165
HG01970	1114971	1.00000	1391792	0.97649	0.00357	0.00117	0.55521	0.01133
HG01498	941181	1.00000	1673303	0.97682	0.00382	0.00119	0.64001	0.01233
HG02255	983402	1.00000	1646101	0.97818	0.00320	0.00104	0.62601	0.01098
NA18997	1081150	1.00000	1542255	0.97541	0.00452	0.00143	0.58788	0.01205
NA19428	992459	1.00000	1626862	0.97762	0.00346	0.00112	0.62110	0.01089
HG01392	937226	1.00000	1741303	0.97934	0.00392	0.00122	0.65010	0.01003
HG02373	1086655	1.00000	1590468	0.97716	0.00415	0.00135	0.59410	0.00590
NA12283	966417	1.00000	1686952	0.97675	0.00494	0.00155	0.63578	0.00770
HG04035	951827	1.00000	1633040	0.97694	0.00567	0.00192	0.63177	0.01377
HG04146	963295	1.00000	1710123	0.97743	0.00581	0.00193	0.63968	0.01175
HG02497	987387	1.00000	1635746	0.97760	0.00365	0.00119	0.62358	0.01138
HG00159	958036	1.00000	1660773	0.97774	0.00401	0.00125	0.63417	0.01011
HG00187	962392	1.00000	1669913	0.97723	0.00489	0.00151	0.63439	0.01011
HG04096	1026191	1.00000	1566680	0.97683	0.00649	0.00217	0.60423	0.01169
HG03410	988455	1.00000	1574060	0.97774	0.00462	0.00155	0.61426	0.01258
NA12348	946153	1.00000	1640272	0.97678	0.00388	0.00123	0.63419	0.01220
HG00362	954941	1.00000	1662591	0.97695	0.00390	0.00122	0.63518	0.01008
HG02180	1071979	1.00000	1573925	0.97457	0.00373	0.00118	0.59485	0.01181
HG02260	1077722	1.00000	1522340	0.97599	0.00425	0.00137	0.58550	0.01048
NA19669	951838	1.00000	1673791	0.97773	0.00433	0.00133	0.63748	0.01145
HG01286	918962	1.00000	1773663	0.97807	0.00400	0.00123	0.65871	0.01010
HG02501	939193	1.00000	1728147	0.97832	0.00414	0.00132	0.64789	0.01152
HG03461	986232	1.00000	1597345	0.97816	0.00374	0.00122	0.61827	0.01180
NA12760	960843	1.00000	1663299	0.97752	0.00535	0.00168	0.63384	0.01027
HG03198	1019301	1.00000	1587154	0.97771	0.00454	0.00157	0.60893	0.01115
HG00260	943106	1.00000	1625541	0.97630	0.00442	0.00137	0.63284	0.01246
HG02703	994121	1.00000	1559861	0.97814	0.00393	0.00131	0.61076	0.01227
HG04002	966982	1.00000	1722319	0.97681	0.00460	0.00141	0.64043	0.01028
HG02236	936194	1.00000	1669440	0.97740	0.00366	0.00113	0.64070	0.01138
NA19759	1015640	1.00000	1580187	0.97688	0.00363	0.00115	0.60874	0.01213
HG01341	985449	1.00000	1680810	0.97785	0.00413	0.00129	0.63040	0.01082
HG00253	958011	1.00000	1679745	0.97703	0.00441	0.00143	0.63681	0.00942
HG02181	1060310	1.00000	1583005	0.97776	0.00361	0.00116	0.59887	0.01157
HG03103	1035530	1.00000	1579816	0.97620	0.00431	0.00144	0.60406	0.01056
NA18625	1081720	1.00000	1561748	0.97563	0.00412	0.00132	0.59080	0.01085
HG03135	1001432	1.00000	1588608	0.97743	0.00394	0.00130	0.61335	0.01166
HG03027	995517	1.00000	1569109	0.97712	0.00410	0.00136	0.61183	0.01242
HG00342	954202	1.00000	1651571	0.97680	0.00403	0.00125	0.63381	0.01117
HG02623	1008676	1.00000	1576307	0.97745	0.00406	0.00137	0.60979	0.01156
HG03246	985264	1.00000	1594475	0.97704	0.00498	0.00175	0.61808	0.01233
NA19035	1017973	1.00000	1643057	0.97653	0.00384	0.00127	0.61745	0.00972
NA20542	943639	1.00000	1659124	0.97618	0.00559	0.00178	0.63745	0.01286
HG02143	963520	1.00000	1721988	0.97780	0.00459	0.00147	0.64121	0.00724
NA19119	999364	1.00000	1578913	0.97754	0.00372	0.00120	0.61239	0.01244
HG03686	993640	1.00000	1681243	0.97782	0.00488	0.00157	0.62853	0.01067
HG01878	1062257	1.00000	1587812	0.97612	0.00378	0.00117	0.59916	0.01094
HG03955	1022225	1.00000	1595969	0.97699	0.00503	0.00158	0.60957	0.01146
NA19735	1064107	1.00000	1529476	0.97600	0.00365	0.00118	0.58972	0.01220
HG02620	997927	1.00000	1595354	0.97746	0.00437	0.00150	0.61519	0.01142
HG03754	959091	1.00000	1704985	0.97686	0.00482	0.00153	0.63999	0.01102
NA11919	932981	1.00000	1684771	0.97683	0.00457	0.00144	0.64359	0.01236
HG04156	966941	1.00000	1724633	0.97731	0.00526	0.00171	0.64075	0.01024
HG00108	943406	1.00000	1652145	0.97784	0.00439	0.00138	0.63653	0.01103
HG04229	921371	1.00000	1659461	0.97703	0.00517	0.00161	0.64299	0.01430
HG00173	935177	1.00000	1650061	0.97671	0.00381	0.00116	0.63826	0.01298
NA19437	984631	1.00000	1618511	0.97821	0.00355	0.00116	0.62175	0.01160
HG04018	982671	1.00000	1682167	0.97715	0.00477	0.00153	0.63125	0.01147
HG02057	1051186	1.00000	1600194	0.97753	0.00350	0.00110	0.60353	0.01126
HG03294	982899	1.00000	1579672	0.97726	0.00374	0.00121	0.61644	0.01211
HG01626	954108	1.00000	1692658	0.97719	0.00436	0.00138	0.63952	0.00957
HG03922	979079	1.00000	1735496	0.97729	0.00602	0.00201	0.63933	0.00909
HG00158	954375	1.00000	1689826	0.97710	0.00412	0.00129	0.63907	0.00934
HG01348	992748	1.00000	1663657	0.97600	0.00414	0.00129	0.62628	0.01069
HG03490	1007662	1.00000	1621211	0.97766	0.00470	0.00156	0.61669	0.01051
NA18555	1082621	1.00000	1565214	0.97584	0.00434	0.00140	0.59113	0.01112
HG00150	963937	1.00000	1685506	0.97626	0.00411	0.00129	0.63617	0.00883
HG04185	949731	1.00000	1674497	0.97691	0.00538	0.00168	0.63809	0.01298
HG01356	934234	1.00000	1751190	0.97716	0.00409	0.00124	0.65211	0.01019
HG02142	1034709	1.00000	1621088	0.97591	0.00365	0.00115	0.61040	0.01159
HG00428	1056870	1.00000	1547919	0.97541	0.00493	0.00156	0.59426	0.01255
NA19324	987822	1.00000	1617724	0.97823	0.00336	0.00109	0.62088	0.01141
NA18987	1090531	1.00000	1461269	0.97573	0.00350	0.00112	0.57264	0.01310
HG01260	944568	1.00000	1772371	0.97749	0.00407	0.00125	0.65234	0.00964
HG01524	934477	1.00000	1645259	0.97738	0.00390	0.00124	0.63776	0.01225
HG02549	994256	1.00000	1635400	0.97772	0.00351	0.00115	0.62191	0.01029
HG03805	963497	1.00000	1737385	0.97738	0.00534	0.00176	0.64327	0.01001
NA12287	961339	1.00000	1664542	0.97756	0.00395	0.00123	0.63390	0.01059
NA11831	948487	1.00000	1659329	0.97728	0.00429	0.00132	0.63629	0.00981
HG01075	944567	1.00000	1715313	0.97756	0.00394	0.00123	0.64488	0.00973
HG03212	1023298	1.00000	1579352	0.97784	0.00365	0.00121	0.60682	0.01119
HG03064	1030105	1.00000	1585919	0.97834	0.00445	0.00154	0.60623	0.01039
NA20298	993015	1.00000	1658607	0.97793	0.00420	0.00135	0.62551	0.01031
HG02078	1051877	1.00000	1529842	0.97549	0.00332	0.00104	0.59257	0.01387
NA19440	1001291	1.00000	1628590	0.97792	0.00324	0.00105	0.61926	0.01091
HG02069	1020200	1.00000	1547784	0.97679	0.00350	0.00110	0.60272	0.01341
HG02489	969582	1.00000	1683214	0.97807	0.00379	0.00125	0.63451	0.01046
NA19725	930822	1.00000	1687195	0.97778	0.00373	0.00114	0.64446	0.01284
NA21093	995810	1.00000	1696679	0.97725	0.00476	0.00149	0.63015	0.00741
HG03696	1106215	1.00000	1446986	0.97485	0.00422	0.00138	0.56673	0.01098
NA21144	952786	1.00000	1631856	0.97709	0.00417	0.00129	0.63137	0.01339
HG00451	1082041	1.00000	1561932	0.97660	0.00475	0.00152	0.59075	0.01016
HG01682	943137	1.00000	1654041	0.97781	0.00407	0.00126	0.63686	0.01162
HG00182	945525	1.00000	1682460	0.97754	0.00393	0.00122	0.64021	0.01048
NA18990	1080689	1.00000	1579162	0.97562	0.00409	0.00131	0.59370	0.01026
NA18532	1055079	1.00000	1539870	0.97627	0.00383	0.00122	0.59341	0.01276
NA20846	964531	1.00000	1675246	0.97710	0.00426	0.00133	0.63462	0.01139
NA11894	951393	1.00000	1665778	0.97634	0.00406	0.00126	0.63648	0.01138
