#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG03937	961198	1.00000	1727998	0.99933	0.00350	0.00128	1.79775	0.01520
NA18638	1137920	1.00000	1718056	0.99954	0.00114	0.00036	1.50982	0.00985
HG01840	1102001	1.00000	1672644	0.99946	0.00100	0.00031	1.51782	0.01309
HG00560	1082502	1.00000	1636628	0.99945	0.00083	0.00026	1.51189	0.01348
NA19921	916898	1.00000	1869352	0.99957	0.00095	0.00029	2.03878	0.01388
HG00341	1006823	1.00000	1732955	0.99953	0.00086	0.00027	1.72121	0.01319
HG01815	1092822	1.00000	1649957	0.99944	0.00098	0.00030	1.50981	0.01381
HG00422	1135781	1.00000	1654469	0.99950	0.00114	0.00036	1.45668	0.01184
HG01944	1095838	1.00000	1718977	0.99952	0.00094	0.00030	1.56864	0.01142
NA18574	1122038	1.00000	1639284	0.99951	0.00127	0.00040	1.46099	0.01235
NA18916	1057292	1.00000	1708479	0.99948	0.00087	0.00029	1.61590	0.01265
HG03295	1041206	1.00000	1672303	0.99943	0.00208	0.00080	1.60612	0.01362
NA19114	1028290	1.00000	1670807	0.99952	0.00087	0.00028	1.62484	0.01335
NA19399	1030952	1.00000	1698185	0.99950	0.00088	0.00030	1.64720	0.01387
HG00306	999187	1.00000	1763389	0.99954	0.00094	0.00029	1.76482	0.01209
HG02983	1051558	1.00000	1688134	0.99945	0.00150	0.00054	1.60536	0.01305
HG03057	1016552	1.00000	1606838	0.99951	0.00113	0.00039	1.58067	0.01440
NA19130	1061031	1.00000	1690067	0.99948	0.00111	0.00039	1.59285	0.01338
HG01675	960697	1.00000	1719186	0.99951	0.00091	0.00028	1.78952	0.01386
HG03118	1049316	1.00000	1697023	0.99952	0.00096	0.00034	1.61727	0.01267
NA19774	988938	1.00000	1768811	0.99950	0.00084	0.00026	1.78860	0.01320
HG02307	1022164	1.00000	1728136	0.99949	0.00084	0.00030	1.69066	0.01307
HG03660	1016859	1.00000	1824047	0.99948	0.00116	0.00036	1.79381	0.01091
HG04183	1035226	1.00000	1842845	0.99947	0.00185	0.00062	1.78014	0.01120
HG03873	1006279	1.00000	1782835	0.99955	0.00101	0.00032	1.77171	0.01268
HG01861	1124435	1.00000	1661045	0.99952	0.00089	0.00028	1.47723	0.01148
NA20507	979607	1.00000	1719775	0.99953	0.00141	0.00043	1.75558	0.01379
