#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG03937	897928	1.00000	1608647	0.99939	0.00351	0.00128	0.64177	0.01465
NA18638	1059237	1.00000	1595221	0.99957	0.00107	0.00034	0.60096	0.00924
HG01840	1026917	1.00000	1555469	0.99949	0.00097	0.00030	0.60234	0.01256
HG00560	1009557	1.00000	1523244	0.99946	0.00080	0.00025	0.60141	0.01304
NA19921	855971	1.00000	1740760	0.99960	0.00092	0.00028	0.67037	0.01343
HG00341	938754	1.00000	1612348	0.99955	0.00083	0.00026	0.63202	0.01275
HG01815	1019645	1.00000	1534965	0.99946	0.00094	0.00029	0.60086	0.01331
HG00422	1058684	1.00000	1538608	0.99952	0.00111	0.00035	0.59239	0.01134
HG01944	1021507	1.00000	1598562	0.99954	0.00090	0.00028	0.61012	0.01096
NA18574	1046275	1.00000	1525263	0.99953	0.00125	0.00039	0.59313	0.01183
NA18916	986998	1.00000	1588563	0.99950	0.00084	0.00028	0.61678	0.01221
HG03295	972755	1.00000	1555639	0.99946	0.00207	0.00080	0.61527	0.01308
NA19114	960772	1.00000	1554705	0.99955	0.00085	0.00028	0.61806	0.01291
NA19399	962962	1.00000	1579538	0.99952	0.00084	0.00029	0.62125	0.01343
HG00306	931616	1.00000	1640062	0.99955	0.00091	0.00028	0.63774	0.01160
HG02983	981933	1.00000	1570057	0.99949	0.00148	0.00053	0.61523	0.01256
HG03057	950509	1.00000	1495981	0.99954	0.00111	0.00039	0.61148	0.01397
NA19130	990931	1.00000	1571711	0.99949	0.00106	0.00037	0.61332	0.01291
HG01675	896624	1.00000	1600283	0.99953	0.00088	0.00027	0.64091	0.01340
HG03118	979492	1.00000	1578227	0.99955	0.00092	0.00032	0.61704	0.01222
NA19774	922560	1.00000	1645616	0.99951	0.00079	0.00025	0.64077	0.01273
HG02307	954514	1.00000	1607461	0.99951	0.00082	0.00029	0.62743	0.01263
HG03660	947355	1.00000	1695414	0.99950	0.00112	0.00035	0.64153	0.01041
HG04183	964495	1.00000	1712275	0.99950	0.00179	0.00060	0.63968	0.01060
HG03873	938822	1.00000	1658630	0.99957	0.00098	0.00032	0.63856	0.01220
HG01861	1048318	1.00000	1543779	0.99954	0.00085	0.00027	0.59557	0.01095
NA20507	913952	1.00000	1600816	0.99953	0.00137	0.00042	0.63657	0.01332
HG01414	900961	1.00000	1719812	0.99951	0.00089	0.00027	0.65622	0.01213
NA06989	873896	1.00000	1536321	0.99960	0.00107	0.00033	0.63742	0.01433
HG00262	901199	1.00000	1600487	0.99954	0.00075	0.00023	0.63976	0.01303
HG00357	940570	1.00000	1608785	0.99954	0.00090	0.00028	0.63106	0.01213
HG01865	1029922	1.00000	1562700	0.99950	0.00105	0.00034	0.60275	0.01218
NA21095	945523	1.00000	1548308	0.99953	0.00107	0.00033	0.62086	0.01324
NA12282	929078	1.00000	1653475	0.99954	0.00101	0.00032	0.64025	0.01111
HG03162	981020	1.00000	1548428	0.99957	0.00082	0.00027	0.61216	0.01250
HG03991	969001	1.00000	1670132	0.99945	0.00171	0.00057	0.63283	0.01130
NA21114	931556	1.00000	1657025	0.99954	0.00089	0.00028	0.64013	0.01254
HG01970	1083016	1.00000	1362464	0.99945	0.00082	0.00027	0.55714	0.01303
HG01498	914087	1.00000	1638592	0.99953	0.00087	0.00027	0.64191	0.01283
HG02255	956985	1.00000	1619424	0.99954	0.00078	0.00025	0.62856	0.01202
NA18997	1048838	1.00000	1510176	0.99950	0.00117	0.00037	0.59014	0.01284
NA19428	965765	1.00000	1601912	0.99954	0.00081	0.00027	0.62388	0.01243
HG01392	913336	1.00000	1715094	0.99959	0.00091	0.00028	0.65252	0.01129
HG02373	1062780	1.00000	1583873	0.99960	0.00097	0.00031	0.59844	0.00857
HG03410	957180	1.00000	1536270	0.99949	0.00159	0.00057	0.61612	0.01295
HG02497	961651	1.00000	1610406	0.99952	0.00086	0.00029	0.62612	0.01263
HG04035	922821	1.00000	1589928	0.99942	0.00315	0.00119	0.63274	0.01399
HG04146	938289	1.00000	1675060	0.99952	0.00292	0.00106	0.64096	0.01164
HG00159	934426	1.00000	1636432	0.99952	0.00088	0.00028	0.63653	0.01125
HG04096	994189	1.00000	1529059	0.99943	0.00276	0.00100	0.60599	0.01235
NA12283	943998	1.00000	1672007	0.99957	0.00108	0.00034	0.63915	0.00939
NA19669	924372	1.00000	1639127	0.99947	0.00100	0.00031	0.63941	0.01246
HG00187	936686	1.00000	1641998	0.99954	0.00119	0.00037	0.63676	0.01150
HG00362	929913	1.00000	1637456	0.99950	0.00088	0.00028	0.63780	0.01166
HG02260	1049439	1.00000	1496473	0.99951	0.00100	0.00032	0.58779	0.01185
HG02180	1045539	1.00000	1550655	0.99947	0.00080	0.00025	0.59728	0.01278
NA12348	919058	1.00000	1609184	0.99952	0.00087	0.00027	0.63648	0.01276
HG01286	895135	1.00000	1743977	0.99958	0.00089	0.00027	0.66082	0.01062
HG02501	912488	1.00000	1694523	0.99961	0.00103	0.00035	0.64999	0.01215
HG03461	957294	1.00000	1562517	0.99959	0.00087	0.00029	0.62009	0.01250
NA12760	933740	1.00000	1634977	0.99950	0.00155	0.00049	0.63650	0.01168
HG03198	991726	1.00000	1558826	0.99948	0.00187	0.00072	0.61117	0.01217
HG00260	914050	1.00000	1590291	0.99953	0.00098	0.00031	0.63501	0.01335
HG02703	962138	1.00000	1522142	0.99952	0.00103	0.00036	0.61271	0.01387
HG04002	941629	1.00000	1698674	0.99944	0.00123	0.00038	0.64336	0.01246
HG02236	912361	1.00000	1641419	0.99955	0.00083	0.00026	0.64274	0.01188
HG01341	958223	1.00000	1648571	0.99954	0.00093	0.00029	0.63241	0.01160
NA19759	986131	1.00000	1546925	0.99953	0.00081	0.00026	0.61070	0.01277
HG00253	934222	1.00000	1661380	0.99948	0.00117	0.00040	0.64008	0.01145
HG02181	1033107	1.00000	1550817	0.99956	0.00096	0.00033	0.60018	0.01160
HG03103	1014247	1.00000	1574389	0.99884	0.00132	0.00048	0.60819	0.01408
NA18625	1053920	1.00000	1535540	0.99952	0.00096	0.00030	0.59300	0.01165
HG03135	972151	1.00000	1558565	0.99954	0.00093	0.00031	0.61586	0.01332
HG03027	964182	1.00000	1535574	0.99951	0.00134	0.00047	0.61429	0.01406
HG00342	928162	1.00000	1619160	0.99954	0.00092	0.00029	0.63563	0.01188
HG02623	981708	1.00000	1547154	0.99953	0.00132	0.00048	0.61180	0.01252
HG03246	958215	1.00000	1565818	0.99942	0.00229	0.00089	0.62036	0.01310
NA19035	993038	1.00000	1626288	0.99952	0.00086	0.00028	0.62088	0.01197
NA20542	913948	1.00000	1621366	0.99904	0.00188	0.00066	0.63951	0.01418
HG02143	941856	1.00000	1710287	0.99958	0.00113	0.00038	0.64487	0.00918
HG03686	967134	1.00000	1650292	0.99954	0.00184	0.00064	0.63050	0.01158
NA19119	968660	1.00000	1544275	0.99952	0.00080	0.00026	0.61453	0.01347
HG02620	971511	1.00000	1568166	0.99950	0.00165	0.00062	0.61747	0.01270
NA11919	906359	1.00000	1649133	0.99952	0.00156	0.00052	0.64533	0.01272
HG03754	933602	1.00000	1673113	0.99947	0.00162	0.00056	0.64185	0.01178
NA19735	1034211	1.00000	1498577	0.99949	0.00082	0.00027	0.59167	0.01298
HG01878	1036223	1.00000	1567030	0.99950	0.00084	0.00026	0.60195	0.01282
HG03955	992288	1.00000	1559116	0.99954	0.00157	0.00051	0.61108	0.01152
HG04156	942600	1.00000	1696947	0.99955	0.00213	0.00075	0.64289	0.01084
HG00108	917826	1.00000	1620609	0.99949	0.00097	0.00031	0.63843	0.01211
HG04229	884079	1.00000	1600219	0.99951	0.00188	0.00062	0.64413	0.01457
HG00173	906982	1.00000	1611855	0.99953	0.00093	0.00029	0.63992	0.01337
NA19437	956389	1.00000	1588791	0.99953	0.00085	0.00028	0.62424	0.01313
HG04018	956751	1.00000	1651264	0.99952	0.00171	0.00059	0.63315	0.01162
HG03294	953052	1.00000	1543978	0.99951	0.00096	0.00032	0.61833	0.01314
HG02057	1023436	1.00000	1570450	0.99951	0.00081	0.00026	0.60544	0.01240
HG01626	930431	1.00000	1668861	0.99955	0.00113	0.00037	0.64204	0.01079
HG03922	956588	1.00000	1716477	0.99952	0.00281	0.00102	0.64214	0.01051
HG00158	930288	1.00000	1669006	0.99955	0.00091	0.00028	0.64210	0.01122
HG01348	967324	1.00000	1640701	0.99948	0.00096	0.00030	0.62910	0.01229
HG03490	982877	1.00000	1594462	0.99954	0.00174	0.00063	0.61865	0.01154
NA18555	1054783	1.00000	1539879	0.99947	0.00110	0.00037	0.59348	0.01184
HG00150	941622	1.00000	1671278	0.99956	0.00089	0.00028	0.63963	0.01076
HG04185	916036	1.00000	1626243	0.99950	0.00206	0.00069	0.63968	0.01401
HG02142	1009009	1.00000	1596565	0.99951	0.00080	0.00025	0.61275	0.01236
NA19324	959319	1.00000	1584759	0.99954	0.00080	0.00027	0.62292	0.01249
HG00428	1023188	1.00000	1510146	0.99943	0.00132	0.00042	0.59611	0.01352
HG01356	910820	1.00000	1725236	0.99959	0.00099	0.00030	0.65448	0.01154
NA18987	1057998	1.00000	1427292	0.99954	0.00082	0.00026	0.57430	0.01350
HG01260	922767	1.00000	1752579	0.99958	0.00088	0.00027	0.65508	0.01050
HG01524	906417	1.00000	1608049	0.99949	0.00085	0.00027	0.63952	0.01298
NA12287	936303	1.00000	1635273	0.99954	0.00095	0.00030	0.63590	0.01137
HG03805	940069	1.00000	1711883	0.99955	0.00219	0.00080	0.64552	0.01089
NA11831	925124	1.00000	1636702	0.99955	0.00102	0.00032	0.63888	0.01066
HG02549	969122	1.00000	1612020	0.99954	0.00083	0.00029	0.62454	0.01135
HG01075	921625	1.00000	1694687	0.99955	0.00083	0.00026	0.64774	0.01134
HG03212	994765	1.00000	1557862	0.99952	0.00088	0.00030	0.61030	0.01333
HG03064	1003379	1.00000	1562247	0.99948	0.00156	0.00059	0.60891	0.01220
NA20298	965317	1.00000	1632439	0.99953	0.00103	0.00034	0.62840	0.01197
NA19440	975586	1.00000	1602350	0.99954	0.00073	0.00024	0.62156	0.01153
NA21093	972659	1.00000	1683522	0.99956	0.00108	0.00034	0.63381	0.00955
HG02069	987645	1.00000	1511195	0.99941	0.00081	0.00026	0.60476	0.01469
HG02489	946495	1.00000	1662645	0.99952	0.00118	0.00042	0.63724	0.01200
HG03696	1077934	1.00000	1425624	0.99951	0.00099	0.00033	0.56944	0.01253
NA19725	903493	1.00000	1650459	0.99952	0.00089	0.00029	0.64624	0.01352
NA21144	920014	1.00000	1586892	0.99951	0.00098	0.00031	0.63301	0.01400
HG02078	1021932	1.00000	1499249	0.99948	0.00075	0.00024	0.59466	0.01481
HG00451	1053237	1.00000	1534403	0.99948	0.00133	0.00044	0.59297	0.01159
HG01682	916083	1.00000	1616290	0.99955	0.00087	0.00027	0.63825	0.01146
HG00182	920218	1.00000	1655207	0.99956	0.00093	0.00029	0.64269	0.01141
NA18990	1054139	1.00000	1559241	0.99945	0.00100	0.00033	0.59664	0.01265
NA18532	1024290	1.00000	1506343	0.99944	0.00085	0.00027	0.59524	0.01389
NA20846	937543	1.00000	1643538	0.99952	0.00092	0.00029	0.63676	0.01206
NA11894	926440	1.00000	1639352	0.99955	0.00091	0.00029	0.63893	0.01195
HG03061	991727	1.00000	1576805	0.99930	0.00094	0.00032	0.61389	0.01310
NA18538	1049787	1.00000	1585838	0.99949	0.00105	0.00034	0.60169	0.01027
HG00338	929031	1.00000	1647952	0.99952	0.00129	0.00040	0.63949	0.01114
HG03874	946728	1.00000	1685303	0.99948	0.00153	0.00053	0.64031	0.01176
NA12878	930375	1.00000	1622388	0.99952	0.00094	0.00030	0.63554	0.01162
HG00319	929907	1.00000	1659486	0.99953	0.00088	0.00027	0.64088	0.01166
HG02040	1032218	1.00000	1576113	0.99945	0.00080	0.00025	0.60426	0.01297
NA19189	964973	1.00000	1502377	0.99949	0.00084	0.00028	0.60890	0.01482
HG01095	887059	1.00000	1667588	0.99955	0.00095	0.00029	0.65277	0.01325
HG02079	1026034	1.00000	1518668	0.99956	0.00081	0.00026	0.59680	0.01293
NA19704	930500	1.00000	1661247	0.99959	0.00083	0.00027	0.64098	0.01306
HG01465	923930	1.00000	1621532	0.99954	0.00086	0.00027	0.63703	0.01279
HG00320	966224	1.00000	1624157	0.99955	0.00121	0.00039	0.62700	0.01048
NA18647	1037320	1.00000	1568870	0.99948	0.00091	0.00029	0.60198	0.01263
NA20753	915606	1.00000	1645233	0.99948	0.00129	0.00039	0.64246	0.01302
HG03060	985958	1.00000	1574052	0.99953	0.00114	0.00040	0.61486	0.01204
HG03616	936563	1.00000	1687692	0.99954	0.00113	0.00037	0.64311	0.01200
HG00653	1067816	1.00000	1583515	0.99961	0.00091	0.00030	0.59725	0.00936
NA20318	891193	1.00000	1757433	0.99950	0.00099	0.00031	0.66353	0.01174
HG00146	942677	1.00000	1673602	0.99957	0.00093	0.00030	0.63969	0.00955
HG00881	1047890	1.00000	1559634	0.99950	0.00097	0.00031	0.59813	0.01209
HG03121	999456	1.00000	1558246	0.99951	0.00088	0.00030	0.60924	0.01248
NA19025	988587	1.00000	1594192	0.99957	0.00078	0.00026	0.61724	0.01163
