skim_type	skim_variable	cohort	n_missing	complete_rate	numeric.mean	numeric.sd	numeric.p0	numeric.p25	numeric.p50	numeric.p75	numeric.p100	numeric.hist
numeric	HQ_HOM	1000G_DV	0	1	993046.562699681	51980.4747511067	822850	952003.75	982652	1027265.5	1187164	▁▇▇▅▁
numeric	HQ_HOM	1000G_GATK	0	1	966094.978833866	51406.1891690688	797941	925807.25	956191.5	1001533.25	1158798	▁▇▇▅▁
numeric	HQ_HOM_RATE	1000G_DV	0	1	1	0	1	1	1	1	1	▁▁▇▁▁
numeric	HQ_HOM_RATE	1000G_GATK	0	1	1	0	1	1	1	1	1	▁▁▇▁▁
numeric	HQ_HET	1000G_DV	0	1	1635474.96285942	67868.4185990925	1366229	1585131.25	1638983	1683104.25	1914083	▁▃▇▃▁
numeric	HQ_HET	1000G_GATK	0	1	1606735.19129393	68478.0025615727	1338634	1559059.75	1608867.5	1654729.75	1875731	▁▃▇▃▁
numeric	HQ_HET_RATE	1000G_DV	0	1	0.977066325878594	0.000872943276093752	0.97244	0.97657	0.97717	0.9776625	0.97963	▁▁▃▇▁
numeric	HQ_HET_RATE	1000G_GATK	0	1	0.999511749201278	6.96229744342938e-05	0.99808	0.99949	0.99952	0.99955	0.99972	▁▁▁▁▇
numeric	CHARR	1000G_DV	0	1	0.00433170926517572	0.000900664043289932	0.00302	0.00384	0.00414	0.00458	0.01646	▇▁▁▁▁
numeric	CHARR	1000G_GATK	0	1	0.00123703674121406	0.000817865001852028	0.00067	0.00088	0.00098	0.00125	0.01423	▇▁▁▁▁
numeric	MEAN_REF_AB_HOM_ALT	1000G_DV	0	1	0.00138748801916933	0.000332898084246269	0.00099	0.00121	0.00131	0.00146	0.00609	▇▁▁▁▁
numeric	MEAN_REF_AB_HOM_ALT	1000G_GATK	0	1	0.000417220447284345	0.00032533547289119	0.00022	0.00028	0.00031	0.00041	0.0055	▇▁▁▁▁
numeric	HETEROZYGOSITY_RATE	1000G_DV	0	1	0.622092907348243	0.0210560497239589	0.53575	0.6083175	0.62764	0.63801	0.69935	▁▅▇▇▁
numeric	HETEROZYGOSITY_RATE	1000G_GATK	0	1	0.62438625399361	0.0210073481680226	0.53854	0.611015	0.630085	0.6401225	0.70156	▁▅▇▇▁
numeric	INCONSISTENT_AB_HET_RATE	1000G_DV	0	1	0.0111438817891374	0.00156913603047832	0.00372	0.01054	0.01132	0.01204	0.02415	▁▇▃▁▁
numeric	INCONSISTENT_AB_HET_RATE	1000G_GATK	0	1	0.0122158506389776	0.00125348603604688	0.00732	0.01157	0.01227	0.01292	0.02745	▂▇▁▁▁
