#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
GTEX-1AX9J	976606	1.0000	1955429	1.0000	0.0042	-nan	2.0023	0.0079
GTEX-1B8L1	1023342	1.0000	2006172	1.0000	0.0032	-nan	1.9604	0.0083
GTEX-17KNJ	1023353	1.0000	2047295	1.0000	0.0031	0.0007	2.0006	0.0071
GTEX-1RLM8	1054099	1.0000	2022860	1.0000	0.0042	0.0010	1.9190	0.0056
GTEX-1F5PL	944470	1.0000	1885343	1.0000	0.0054	-nan	1.9962	0.0096
GTEX-1192W	919037	1.0000	1801035	1.0000	0.0032	-nan	1.9597	0.0058
GTEX-RN64	1061743	1.0000	2073313	1.0000	0.0057	0.0014	1.9527	0.0079
GTEX-SNOS	1013089	1.0000	2646903	1.0000	0.0040	0.0010	2.6127	0.0081
GTEX-1KD4Q	1076788	1.0000	2123736	1.0000	0.0039	-nan	1.9723	0.0062
GTEX-V955	1114694	1.0000	2131635	1.0000	0.0059	-nan	1.9123	0.0038
GTEX-1F5PK	994897	1.0000	1960792	1.0000	0.0044	0.0011	1.9708	0.0084
GTEX-139TT	1050404	1.0000	2024512	1.0000	0.0040	-nan	1.9274	0.0064
GTEX-QMR6	1021384	1.0000	2030950	1.0000	0.0039	-nan	1.9884	0.0071
GTEX-13FHO	1081647	1.0000	2133827	1.0000	0.0053	0.0012	1.9728	0.0046
GTEX-1PPGY	1083161	1.0000	2186493	1.0000	0.0046	0.0011	2.0186	0.0055
GTEX-13PLJ	1015617	1.0000	1957019	1.0000	0.0030	-nan	1.9269	0.0085
GTEX-12WSA	1044316	1.0000	2029827	1.0000	0.0032	-nan	1.9437	0.0059
GTEX-1PIIG	1091571	1.0000	2163125	1.0000	0.0039	-nan	1.9817	0.0049
GTEX-1F75B	999398	1.0000	1964117	1.0000	0.0051	-nan	1.9653	0.0075
GTEX-Y8E4	860574	1.0000	1752638	1.0000	0.0039	-nan	2.0366	0.0135
GTEX-OXRO	1092566	1.0000	2189393	1.0000	0.0026	-nan	2.0039	0.0033
